Bot_Start_Date,Bot_Start_Time,Arb_Time,Exchange,Initial_USD,First_Market,Second_Market,Third_Market,Spread,Estimated_Profit
2020-08-01,15:26:28.806799,2020-08-01 15:44:24.777657,Binance,3.9538911424000003,HBAR/BNB,HBAR/BTC,BNB/BTC,0.00033034806504742573,0.0171665807146807
2020-08-01,15:26:28.806799,2020-08-01 15:44:29.098719,Binance,10,HIVE/BNB,HIVE/BTC,BNB/BTC,0.0034731669252305863,0.08505620049291229
2020-08-01,15:26:28.806799,2020-08-01 15:44:32.090679,Binance,9.948957888665998,HOT/BNB,HOT/BTC,BNB/BTC,0.0803447274415811,0.8424472250717376
2020-08-01,15:26:28.806799,2020-08-01 15:44:41.586033,Binance,10,IOST/BNB,IOST/BTC,BNB/BTC,0.0019527494727226368,0.06977577649937672
2020-08-01,15:26:28.806799,2020-08-01 15:44:46.609243,Binance,2.295898779096774,IOTX/ETH,IOTX/BTC,ETH/BTC,0.009346902876819515,0.02610122090322555
2020-08-01,15:26:28.806799,2020-08-01 15:44:49.600176,Binance,10,IQ/BNB,IQ/BUSD,BNB/BUSD,0.007725082283180029,0.127788589118758
2020-08-01,15:26:28.806799,2020-08-01 15:44:52.582978,Binance,10,IRIS/BNB,IRIS/BTC,BNB/BTC,0.002064600861006305,0.0708998997685617
2020-08-01,15:26:28.806799,2020-08-01 15:44:55.592149,Binance,10,KAVA/BNB,KAVA/BTC,BNB/BTC,0.0037842608704055534,0.08818274141511262
2020-08-01,15:26:28.806799,2020-08-01 15:45:12.098263,Binance,2.3172011259757013,LINK/ETH,LINK/BTC,ETH/BTC,0.00040377884932419613,0.005578874024299367
2020-08-01,15:26:28.806799,2020-08-01 15:45:19.597305,Binance,1.6907995583999997,LRC/BTC,LRC/BUSD,BTC/BUSD,0.004521724300595839,0.014456127479373835
2020-08-01,15:26:28.806799,2020-08-01 15:45:22.595372,Binance,10,LRC/ETH,LRC/BTC,ETH/BTC,0.0012430205226319658,0.06264289384271704
2020-08-01,15:26:28.806799,2020-08-01 15:45:36.597342,Binance,0.023542490531568504,MANA/BTC,MANA/BUSD,BTC/BUSD,0.004785733727721904,0.00016004946843150056
2020-08-01,15:26:28.806799,2020-08-01 15:45:39.595087,Binance,10,MANA/ETH,MANA/BTC,ETH/BTC,0.001768260685248002,0.06792163644723681
2020-08-01,15:26:28.806799,2020-08-01 15:45:42.606380,Binance,10,MATIC/BNB,MATIC/BTC,BNB/BTC,0.0021281666656792096,0.07153874566269147
2020-08-01,15:26:28.806799,2020-08-01 15:45:45.590885,Binance,1.274964,MBL/BNB,MBL/BTC,BNB/BTC,0.0035627798811354873,0.010959185637506499
2020-08-01,15:26:28.806799,2020-08-01 15:45:51.769878,Binance,10,MDT/BNB,MDT/BTC,BNB/BTC,0.0069765289348421074,0.12026551542243968
2020-08-01,15:26:28.806799,2020-08-01 15:45:56.096232,Binance,10,MITH/BNB,MITH/BTC,BNB/BTC,0.004184597391926737,0.09220618364727873
